time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.728,-0.49323459565739114,0.3095636405492712,-0.005495049032337995,-0.07959029052001831,0.2714145331292661,4.07761800022578
0.735,-0.49323428997643415,0.30956307593635124,-0.0054947534624423255,-0.07958540087490817,0.2713984347057954,4.184391507668933
0.743,-0.4932339404692492,0.30956243520502724,-0.00549441571187792,-0.07957980838920342,0.27138001104162957,4.306333027379284
0.751,-0.4932335924993181,0.30956180111367004,-0.0054940794668265625,-0.07957423218006276,0.27136163418360315,4.428092590621797
0.759,-0.49323324604807084,0.3095611735963022,-0.00549374471468056,-0.07956867211801111,0.27134330378433535,4.549578720586282
0.767,-0.49323290127328345,0.30956055277875194,-0.005493411588390451,-0.07956313040992757,0.2713250277307724,4.670702315845557
0.775,-0.49323255837465485,0.30955993882814425,-0.005493080256393057,-0.07955760965534608,0.2713068153079137,4.791376137192148
0.783,-0.49323221752947877,0.3095593318883676,-0.0054927508683242365,-0.07955211221652814,0.27128867495149667,4.911514596371291
0.791,-0.49323187891808384,0.30955873210647766,-0.005492423576468397,-0.07954664049817328,0.27127061524127694,5.031033667611987
0.799,-0.49323154271719627,0.309558139625592,-0.005492098530129219,-0.07954119686761452,0.27125264461879706,5.149850850924116
0.807,-0.49323120910043894,0.30955755458540324,-0.00549177587602756,-0.07953578366071934,0.2712347714083938,5.267885156832693
0.815,-0.4932308782383137,0.30955697712215624,-0.005491455758281916,-0.07953040318086213,0.27121700381380354,5.385057100024724
0.823,-0.4932305502981045,0.30955640736851997,-0.005491138318323152,-0.07952505769744533,0.2711993499131191,5.501288696708827
0.839,-0.4932299038364638,0.30955529150287653,-0.005490512024022287,-0.0795144806258854,0.2711644148722323,5.730626417042022
0.847,-0.4932295856334594,0.309554745638307,-0.005490203439049601,-0.07950925340382842,0.27114714925129046,5.843584073643571
0.855,-0.4932292709892163,0.3095542079782092,-0.0054898980705955225,-0.07950406990982195,0.2711300283611253,5.9553044493258
0.863,-0.49322896005484385,0.3095536786373163,-0.0054895960465692895,-0.07949893223880711,0.2711130596376874,6.06571705953695
0.871,-0.4932286529782113,0.30955315772677316,-0.005489297492178302,-0.07949384245018365,0.27109625038665275,6.174752917795521
0.879,-0.4932283499043688,0.30955264535468885,-0.005489002530295828,-0.07948880257568103,0.2710796078110027,6.2823431756677754
0.887,-0.49322742808652364,0.30955185544086206,-0.005488180800533371,-0.0794910727770608,0.27108673802532834,6.297349234190529
0.895,-0.4932293158793071,0.3095534788446219,-0.005490007735012625,-0.07949478693649592,0.2711037414641133,6.299595692909934
0.903,-0.493228353292845,0.3095516987979243,-0.005488733112936295,-0.07947356674268402,0.27103092704241494,6.298674187875468
0.911,-0.4932398786507095,0.3095553106369522,-0.00549141028314537,-0.07912882271820276,0.2709993884536326,6.296110962645555
0.919,-0.4932480647955071,0.30955557171226467,-0.0054951416169464196,-0.07869274991307851,0.27074526574678703,6.291495916743464
0.927,-0.4932550085535157,0.30955145848124843,-0.005496685442794025,-0.07854091482847725,0.27081053209961503,6.28407882080593
0.935,-0.4932599333886962,0.30958235579693927,-0.005491502126266035,-0.0785214860290333,0.27073328426808274,6.274675760933188
0.943,-0.4932424708084886,0.30959609442472313,-0.005485095936403006,-0.07903692781134808,0.27070859284088655,6.340785111208093
0.951,-0.49322961629671,0.3095803575940934,-0.0054799482257772425,-0.07924581146844734,0.27059856625818135,6.333112153236104
0.959,-0.49320916032891393,0.30956199726191613,-0.005479504409257707,-0.07982656220767392,0.2705783435379976,6.32301373538727
0.967,-0.4931813128188631,0.30954455713942597,-0.005476830064256255,-0.0804403066082271,0.27045741986392624,6.311677760846988
0.975,-0.49316335817628687,0.3095748816618249,-0.005472834707547669,-0.08093159429299313,0.270219677066458,6.298922885469671
0.983,-0.4931430506985448,0.309586035710514,-0.005465833826605149,-0.08136181255330932,0.26992674666137084,6.2841760643558775
0.991,-0.4931230877969117,0.30959139745074804,-0.005459662113967312,-0.08183741973572811,0.26975262421687685,6.267479727872131
0.999,-0.4930691097398441,0.3095925963549577,-0.005452113269562631,-0.08320326232363051,0.26946844419262206,6.376963464825924
1.007,-0.49295713849096234,0.3096058982851595,-0.0052818278860380374,-0.08220231340594264,0.2649031950503593,6.345787418588562
1.015,-0.4928517161011303,0.3094374200231309,-0.004723122137916036,-0.07870083794194027,0.2587079150411151,6.319320907156687
1.023,-0.4928607807864731,0.3094279161259612,-0.004000153713464627,-0.07464844624306988,0.2542874187932602,6.282207569107107
1.031,-0.49148279813113405,0.3087207042808071,-0.0032203794184466616,-0.07054891734376945,0.2509384803777168,6.346326559710609
1.039,-0.4857806042917936,0.3058148690434894,-0.002485227217102981,-0.06475475144798715,0.2500200669468571,6.312548371830372
1.047,-0.475724078153692,0.3007456958577137,-0.0017953654356936966,-0.05832785299122634,0.24986040433156553,6.281777439780427
1.055,-0.46403283092455005,0.2947560699751737,-0.0005712430519571043,-0.04777154016958107,0.25100664975335985,6.302781419452946
1.063,-0.45139197901042927,0.28844659657458394,0.0018160640944966389,-0.042940453635066156,0.26264072935932514,6.298449545254123
